1 4.827756 -2.984504 4.900052 -0.085714 0.019696 -0.060015 4.893772 2.146338 3.164633 0.839001 0.492053 0.849631
1 5.092443 -3.034021 4.544929 -0.085018 0.022221 -0.047642 4.976034 2.119055 3.106283 0.838536 0.494251 0.856862
1 5.343515 -3.106497 4.181773 -0.086765 0.017814 -0.058205 5.033693 2.104542 3.019220 0.851185 0.504555 0.867040
1 5.604248 -3.083261 3.862297 -0.084401 0.019014 -0.065781 5.082567 2.135705 2.859264 0.857915 0.508255 0.868151
1 5.856715 -3.127217 3.498174 -0.114059 0.025144 -0.057182 5.117870 2.129170 2.676692 0.867457 0.509298 0.873325
1 6.113770 -3.192778 3.126420 -0.123320 0.034283 -0.069390 5.148568 2.106574 2.433911 0.871484 0.512183 0.875667
1 6.351427 -3.179390 2.849379 -0.119108 0.037259 -0.061343 5.148651 2.118779 2.074484 0.872906 0.513001 0.877491
1 6.758662 -2.973887 2.623846 -0.082513 0.006411 -0.086749 4.978863 1.933080 1.824769 0.848524 0.494427 0.867535
1 7.419057 -2.752371 2.454157 -0.093796 0.000124 -0.098335 4.304063 1.733511 1.695627 0.848058 0.488291 0.864018
1 8.086858 -2.564107 2.240045 -0.086525 -0.001788 -0.093042 3.392639 1.566102 1.467526 0.851364 0.489585 0.864371
1 8.665815 -2.364638 2.072102 -0.043760 0.006018 -0.116170 2.199574 1.248570 0.842569 0.692383 0.402222 0.744007
1 8.929843 -2.220406 2.033415 -0.066204 0.025868 -0.005258 0.903035 0.943951 0.729515 0.481000 0.248047 0.347692
1 8.937166 -2.192350 2.040385 -0.053969 0.021996 -0.016185 0.900299 0.934176 0.723488 0.467495 0.244936 0.339694
1 8.937424 -2.138553 2.033496 -0.012703 0.008162 0.005001 0.860793 0.897479 0.708802 0.414243 0.237038 0.310895
1 8.965233 -2.196511 1.956651 -0.012140 0.014782 0.000037 0.838635 0.804559 0.674973 0.405774 0.236377 0.298822
1 8.944778 -2.186072 2.017319 -0.046965 0.016627 -0.000163 0.858465 0.788756 0.610723 0.395911 0.235939 0.314570
1 8.953119 -2.283321 1.973169 -0.067082 0.018660 -0.013297 0.845304 0.684650 0.602388 0.384257 0.235394 0.304740
1 8.958342 -2.233050 1.979543 -0.044541 0.020884 -0.004752 0.775946 0.714935 0.599515 0.390747 0.231255 0.300486
1 8.956112 -2.209660 1.978220 -0.039143 0.014086 -0.005793 0.779134 0.711110 0.598054 0.383549 0.230626 0.299498
1 8.747414 -2.327923 2.058396 0.000049 0.045621 0.101612 1.859101 1.175188 0.789675 0.435431 0.325489 0.682762
1 7.922594 -2.244569 2.254909 -0.009059 0.059795 0.111107 4.024694 1.227858 1.186792 0.436874 0.327558 0.685007
